substrate	smiles	d_substrate	d_smiles	nme_substrate	nme_smiles	nme_d_substrate	nme_d_smiles
enduracididine	O=C(O)[C@@H](N)C[C@@H]1CN=C(N)N1	D-enduracididine	O=C(O)[C@H](N)C[C@@H]1CN=C(N)N1	NMe-enduracididine	CN[C@H](C(O)=O)C[C@@H]1CN=C(N)N1	NMe-D-enduracididine	CN[C@@H](C(O)=O)C[C@@H]1CN=C(N)N1
fatty acid	O=C(C[*])O						
fumaric acid	O=C(O)\C=C\C(O)=O						
glutamic acid	O=C(O)CC[C@H](N)C(O)=O	D-glutamic acid	O=C(O)CC[C@@H](N)C(O)=O	NMe-glutamic acid	CN[C@H](C(O)=O)CCC(O)=O	NMe-D-glutamic acid	CN[C@@H](C(O)=O)CCC(O)=O
glutamine	O=C(N)CC[C@H](N)C(O)=O	D-glutamine	O=C(N)CC[C@@H](N)C(O)=O	NMe-glutamine	CN[C@H](C(O)=O)CCC(N)=O	NMe-D-glutamine	CN[C@@H](C(O)=O)CCC(N)=O
glycine	NCC(O)=O			NMe-glycine	CNCC(O)=O		
graminine	O=NN(CCC[C@@H](C(O)=O)N)O	D-graminine	O=NN(CCC[C@H](C(O)=O)N)O	NMe-graminine	CN[C@H](C(O)=O)CCCN(O)N=O	NMe-D-graminine	CN[C@@H](C(O)=O)CCCN(O)N=O
grifolic acid	CC(=CCC/C(=C/CC/C(=C/Cc(c(O)c(C(O)=O)c(C)c1)c1O)/C)/C)C						
guanidinoacetic acid	O=C(O)CN=C(N)N						
histidine	O=C(O)[C@@H](N)Cc1cnc[nH]1	D-histidine	O=C(O)[C@H](N)Cc1cnc[nH]1	NMe-histidine	CN[C@H](C(O)=O)Cc1cnc[nH]1	NMe-D-histidine	CN[C@@H](C(O)=O)Cc1cnc[nH]1
homophenylalanine	O=C(O)[C@@H](N)CCc1ccccc1	D-homophenylalanine	O=C(O)[C@H](N)CCc1ccccc1	NMe-homophenylalanine	CN[C@H](C(O)=O)CCc1ccccc1	NMe-D-homophenylalanine	CN[C@@H](C(O)=O)CCc1ccccc1
homoserine	N[C@H](C(O)=O)CCO	D-homoserine	N[C@@H](C(O)=O)CCO	NMe-homoserine	CN[C@H](C(O)=O)CCO	NMe-D-homoserine	CN[C@@H](C(O)=O)CCO
homotyrosine	O=C(O)[C@@H](N)CCc1ccc(O)cc1	D-homotyrosine	O=C(O)[C@H](N)CCc1ccc(O)cc1	NMe-homotyrosine	CN[C@H](C(O)=O)CCc1ccc(O)cc1	NMe-D-homotyrosine	CN[C@@H](C(O)=O)CCc1ccc(O)cc1
hydroxyproline	[*]C1C[C@@H](C(O)=O)NC1[*]	D-hydroxyproline	[*]C1C[C@H](C(O)=O)NC1[*]	NMe-hydroxyproline	CN(C1[*])[C@H](C(O)=O)CC1[*]	NMe-D-hydroxyproline	CN(C1[*])[C@@H](C(O)=O)CC1[*]
indole pyruvic acid	O=C(C(O)=O)Cc2c1c([nH]c2)cccc1						
